,timestamp,open,high,low,close,ema_short,ema_long,atr,adx
11096,2025-01-30 08:46:00,21627.25,21630.0,21620.5,21622.5,21622.8,21627.48,12.2623,25.77
11097,2025-01-30 08:48:00,21624.75,21627.25,21610.0,21611.5,21620.89,21625.82,12.369,26.14
11098,2025-01-30 08:50:00,21615.5,21632.75,21615.5,21630.25,21621.9,21625.37,12.2952,24.87
11099,2025-01-30 08:52:00,21632.0,21643.0,21625.0,21634.5,21625.92,21626.69,12.7495,22.38
11100,2025-01-30 08:54:00,21637.0,21645.75,21636.75,21643.75,21631.18,21629.05,12.2342,21.2
11101,2025-01-30 08:56:00,21646.25,21655.5,21646.0,21648.75,21637.02,21632.22,11.8423,21.77
11102,2025-01-30 08:58:00,21646.5,21654.25,21644.25,21654.0,21641.97,21635.4,11.5553,21.83
11103,2025-01-30 09:00:00,21665.5,21668.5,21663.75,21668.5,21651.12,21640.94,11.2977,24.18
11104,2025-01-30 09:02:00,21673.0,21677.25,21670.0,21672.0,21658.84,21646.43,11.2376,27.34
11105,2025-01-30 09:04:00,21662.25,21662.25,21651.75,21654.5,21658.52,21648.47,11.5173,26.04
11106,2025-01-30 09:06:00,21653.5,21655.0,21646.25,21654.0,21656.69,21649.33,11.0532,23.59
11107,2025-01-30 09:08:00,21648.75,21649.0,21639.0,21645.0,21653.08,21648.89,11.2398,21.48
11108,2025-01-30 09:10:00,21657.25,21663.25,21654.5,21655.25,21654.1,21650.12,11.5435,20.61
11109,2025-01-30 09:12:00,21656.0,21660.0,21654.25,21658.25,21655.36,21651.4,10.878,19.78
11110,2025-01-30 09:14:00,21665.5,21665.5,21651.0,21653.25,21656.52,21652.72,10.9624,19.26
11111,2025-01-30 09:16:00,21649.0,21650.25,21643.5,21645.75,21653.16,21651.78,10.3987,17.05
11112,2025-01-30 09:18:00,21640.0,21640.0,21630.5,21637.25,21647.91,21649.5,10.1767,16.49
11113,2025-01-30 09:20:00,21636.5,21638.25,21633.75,21635.25,21643.59,21647.15,9.7098,16.16
11114,2025-01-30 09:22:00,21632.25,21634.25,21628.25,21632.25,21639.51,21644.57,9.3811,16.6
11115,2025-01-30 09:24:00,21628.5,21630.5,21618.0,21621.25,21634.22,21641.18,9.6781,18.6
11116,2025-01-30 09:26:00,21617.0,21620.0,21608.0,21616.5,21627.84,21636.9,10.0477,21.85
11117,2025-01-30 09:28:00,21617.5,21645.75,21617.5,21634.75,21627.57,21635.1,11.1789,21.63
11118,2025-01-30 09:30:00,21659.75,21664.0,21646.0,21650.25,21637.21,21638.49,12.8315,21.5
11119,2025-01-30 09:32:00,21635.75,21668.75,21629.5,21661.75,21641.89,21640.38,15.4262,19.89
11120,2025-01-30 09:34:00,21655.25,21656.5,21636.75,21643.5,21644.39,21641.91,16.0881,18.4
11121,2025-01-30 09:36:00,21619.75,21624.5,21597.25,21602.25,21632.02,21636.48,17.4931,18.9
11122,2025-01-30 09:38:00,21616.0,21627.5,21610.5,21625.0,21628.09,21633.76,17.6739,19.79
11123,2025-01-30 09:40:00,21643.75,21658.75,21638.25,21652.25,21635.47,21636.29,18.1627,17.84
11124,2025-01-30 09:42:00,21654.0,21658.0,21637.0,21638.0,21638.98,21637.93,17.9566,16.08
11125,2025-01-30 09:44:00,21627.5,21651.5,21619.0,21647.25,21638.76,21637.89,20.0595,15.79
11126,2025-01-30 09:46:00,21647.75,21660.5,21639.5,21656.0,21643.64,21640.35,19.5756,14.98
11127,2025-01-30 09:48:00,21672.0,21698.75,21670.5,21692.0,21657.85,21647.66,20.5384,15.02
